id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
177,Tiny Home in the Heart of the City- ECO FRIENDLY,615,Joe,,Virginia Village,39.69551,-104.92489,Entire home/apt,79,1,96,2021-11-15,1.48,2,329,19,2016-BFN-0004968
360,Sit in the Peaceful Garden of the Chickadee Cottage in LoHi,666,Jennifer & Giovanni,,Highland,39.76758,-105.00316,Entire home/apt,133,30,167,2021-10-30,4.05,2,88,34,2017-BFN-0002177
364,Lodo / RiNo LOFT  via airport train,783,Jason,,Five Points,39.76672,-104.97906,Entire home/apt,179,185,87,2016-04-26,0.57,1,362,0,
590,Comfortable  - and a great value!,933,Jill,,North Park Hill,39.75511,-104.91109,Private room,55,2,642,2021-12-15,4.13,2,239,36,2021-BFN-0000578
592,private,933,Jill,,North Park Hill,39.75481,-104.91106,Private room,52,1,165,2021-12-19,1.05,2,40,9,2021-BFN-0000578
686,Alexandra's Queen Bed Room LONG-TERM RENTAL,990,Alexandra,,North Capitol Hill,39.74695,-104.97838,Private room,33,30,256,2021-07-16,1.58,1,290,2,2016-BFN-0008368
1940,Baker Studio Close to EVERYTHING,2150,Joanne,,Baker,39.72166,-104.99864,Entire home/apt,100,1,77,2021-12-28,1.28,1,233,23,2018-BFN-0002596
31503,Highland Park Guest House,135298,Rick,,West Highland,39.76179,-105.02845,Entire home/apt,85,4,105,2021-12-13,0.76,1,319,29,2020-BFN-0000193
39405,LoHi Secret garden at Mulberry Cottage Monthly,666,Jennifer & Giovanni,,Highland,39.76605,-105.00526,Entire home/apt,110,29,627,2021-10-31,4.52,2,107,5,
90307,Comfy King Size Room (Park Hill),489506,Doreen,,South Park Hill,39.7495,-104.93362,Private room,90,1,227,2021-11-14,1.87,3,84,23,2021-BFN-0005164
154999,In the Heart of Downtown Denver,745200,Susan,,CBD,39.74439,-104.98927,Entire home/apt,67,90,11,2011-12-13,0.09,6,336,0,
172196,Luxury Wash Park Home Great for Families & Groups,526354,Michael,,Washington Park,39.69691,-104.9611,Entire home/apt,400,5,28,2021-08-19,0.22,1,201,2,2017-BFN-0004301
192430,treetop view bedroom  east dwntwn ./  4-8 weeks,923646,Kate,,South Park Hill,39.7435,-104.93753,Private room,46,29,126,2021-11-17,1.00,1,118,6,
217996,Highland Snug,10730,William,,Highland,39.75895,-105.01036,Private room,75,30,11,2017-08-06,0.14,2,313,0,STR 2017-BFN-0002802
283162,2000 SF-Lodo Club Style Condo,1475137,Lee,,Union Station,39.7515,-104.99473,Entire home/apt,165,30,2,2021-08-20,0.05,1,326,1,
286732,"House on Stout: Prairie 
welcoming solo travelers",1154806,Ellen,,Five Points,39.75243,-104.98315,Private room,81,2,207,2021-10-31,2.25,2,0,22,2021-BFN-0002011
364585,Washington Park Stunning Townhouse,930851,Nicholas,,Washington Park West,39.69845,-104.98073,Entire home/apt,223,29,144,2021-08-29,1.21,1,183,4,2019-BFN-0002707
370209,Private room in the nest - w/bathroom,269892,Maura,,Baker,39.7172,-104.99767,Private room,65,29,107,2021-11-27,1.36,1,219,8,2017-BFN-0008931
477016,Private room In the heart of Denver,10951,Tricia,,City Park West,39.74348,-104.97089,Private room,55,3,345,2021-11-30,2.98,1,59,19,2019-BFN-0009249
504080,Creative Haven in Artist’s Abode,2370964,Andrea,,Clayton,39.76574,-104.95379,Entire home/apt,115,2,63,2021-12-26,0.54,1,82,18,2017-BFN-0001679
521072,Downtown and Modern by Hospital.,2563107,Matthew,,City Park West,39.74469,-104.96428,Entire home/apt,115,60,206,2021-09-13,1.79,1,159,3,2016-BFN-0008652
548897,"TreeHouseSuite, in Healing Center ~30 DAYS OR MORE",1313972,Heather,,City Park,39.74247,-104.95916,Private room,50,30,155,2021-11-14,1.43,2,309,3,
575758,a REAL warehouse LOFT,2832150,Kerry,,Five Points,39.76561,-104.97945,Entire home/apt,200,180,37,2017-01-09,0.40,1,365,0,39858-98489
632709,1890 townhome in popular LoHi! 2018-BFN-0009355,2157095,Valerie,,Highland,39.76468,-105.00883,Entire home/apt,143,29,162,2020-03-13,1.57,1,94,0,
665622,Walk to Everything Downtown- 2BR,3364096,Becky,,Highland,39.7616,-105.01235,Entire home/apt,121,29,855,2021-12-27,7.52,2,253,5,2018-BFN-0006845
676825,Beautiful Home in Charming Location,3440535,Krista,,Stapleton,39.75706,-104.88374,Entire home/apt,205,5,164,2021-11-29,1.46,1,229,15,2016-BFN-0007545
715123,Hip Platt Park Bungalow,3654159,Dave & Lisa,,Platt Park,39.69381,-104.98364,Entire home/apt,118,2,43,2021-12-11,4.23,1,6,43,2021-BFN-0000478
732845,"RiNo Breweries, Food, Music & Art just steps away!",3816358,John,,Five Points,39.759,-104.98106,Entire home/apt,425,2,135,2021-11-20,1.21,1,225,21,2017-BFN-0000827
746298,Urban Retreat with Private Bath,3915386,Mary,,Lowry Field,39.72535,-104.89616,Private room,56,30,87,2021-05-31,1.07,1,28,1,2016-BFN-0008025
756594,Private lower level 2 bedroom suite,3638426,Ling & Chris,,South Park Hill,39.74027,-104.91516,Entire home/apt,82,2,339,2021-12-13,3.13,1,315,48,2016-BFN-0008363
761858,2 Bedrooms - 2 King Size Beds (Park Hill),489506,Doreen,,North Park Hill,39.75132,-104.93423,Private room,180,1,20,2021-10-18,0.19,3,84,2,2021-BFN-0005164
774712,ZEN! Best Location! Cute & Quiet. CLOROX CLEAN!,4087056,Jeanne,,City Park West,39.74245,-104.9681,Entire home/apt,66,30,34,2021-09-21,0.31,6,314,2,
776434,Super-comfortable Modern Home 3 Bdr -Platt Park DU,3344763,Steve,,Platt Park,39.68403,-104.98296,Entire home/apt,196,3,91,2021-11-27,0.83,3,303,10,2017-BFN-0000938
785140,Main floor of bungalow with 1 GB internet,1275081,Shawn,,Sunnyside,39.78097,-105.01723,Entire home/apt,214,2,62,2021-10-24,0.62,2,0,21,2017-BFN-0001461
787456,Queen en suite in lovely Victorian,4150751,Pamela,,Congress Park,39.73328,-104.95661,Private room,74,29,368,2020-09-27,3.34,3,0,0,2020-BFN-0002436
834896,Dwell Contender!On Park! Walk Score 10+-Dog OK-,4366942,Nan,,City Park West,39.74883,-104.96108,Entire home/apt,105,30,77,2021-08-31,0.73,3,0,5,
852934,Peaceful Artist Oasis 2BR easy access Downtown,4452973,Vivian & Tom,,Goldsmith,39.6735,-104.92938,Entire home/apt,80,1,291,2021-12-24,2.77,1,361,40,
915016,Cozy Capitol Hill Accommodation,4911774,Tim And Cindy,,Capitol Hill,39.73572,-104.97783,Entire home/apt,100,14,321,2021-12-27,3.08,1,272,17,2020-BFN-0000493
921485,Stylish & Historic LoHi Loft w/ Views and Parking,3378084,Alexandra,,Highland,39.75838,-105.01479,Entire home/apt,129,29,65,2021-10-01,0.61,2,214,6,
953052,Congress Park Cottage,5173501,Steve,,Congress Park,39.7325,-104.94919,Entire home/apt,90,30,2,2018-09-16,0.03,1,365,0,
958612,DENVER  2BD/2BA SUITE MOUNTAIN VIEW GREAT LOCATION,5216325,Julia,,CBD,39.74646,-104.99688,Entire home/apt,125,30,11,2019-08-02,0.12,6,242,0,
1004131,Stapleton Carriage House,4745285,Sean,,Stapleton,39.75994,-104.87012,Entire home/apt,125,21,27,2021-12-25,0.27,1,0,4,2017-BFN-0000476
1041934,"Private apt in Berkeley, MTN Views!",5811115,Annette,,Berkeley,39.78027,-105.03808,Entire home/apt,166,30,29,2021-03-29,0.28,5,322,1,
1042331,Beautiful Apt in Berkeley/Highlands,5811115,Annette,,Berkeley,39.77983,-105.03936,Entire home/apt,145,30,42,2021-12-01,0.40,5,287,3,
1069351,Historic Denver Bungalow- 30+ day rentals only,3577356,Bonnie,,Sunnyside,39.77389,-105.0106,Entire home/apt,100,30,5,2018-11-17,0.05,1,182,0,
1074386,1BR/1BA Santa Fe Arts District Home,5910663,Tony,,Lincoln Park,39.72599,-104.99628,Entire home/apt,252,1,83,2021-12-07,0.81,3,264,35,2020-BFN-0001729
1082572,Baker Flat/Private Yard & Parking-30+ Dogs OK. 5G.,879998,Jennifer,,Baker,39.71466,-104.99192,Entire home/apt,170,30,43,2020-10-27,0.43,4,56,0,
1143676,Modern Sizzle-New-Across from City Park-! Superb!,4366942,Nan,,City Park,39.74751,-104.95953,Entire home/apt,120,30,41,2020-12-19,0.39,3,355,0,
1220547,Sunny Southwest Exposure! Brooks Tower One-Bed 5A,6658113,Ann,,CBD,39.74634,-104.99678,Entire home/apt,56,30,3,2021-08-31,0.03,13,181,2,
1223593,Sweet and sunny in Capitol Hill,6674631,Cynthia,,Cheesman Park,39.73704,-104.96965,Private room,68,29,157,2021-11-30,1.56,3,222,4,
1223612,Suite of rooms in Capitol Hill,6674631,Cynthia,,Cheesman Park,39.73165,-104.97057,Private room,58,29,182,2021-12-17,1.75,3,305,6,
1236000,Sunny studio! Brooks Tower 5B,6658113,Ann,,CBD,39.74634,-104.99678,Entire home/apt,58,30,12,2021-08-02,0.12,13,181,2,
1240215,Fully furnished downtown apt! Brooks Tower 5G,6658113,Ann,,CBD,39.74634,-104.99678,Entire home/apt,53,30,6,2020-11-03,0.06,13,0,0,
1291679,Sunny Balcony! Downtown 2x2 Brooks Tower 5C,6658113,Ann,,CBD,39.74634,-104.99678,Entire home/apt,98,30,5,2021-07-10,0.05,13,181,1,
1311993,Downtown Apt - Clean & Convenient! Brooks Tower 5I,6658113,Ann,,CBD,39.74634,-104.99678,Entire home/apt,58,30,10,2021-09-27,0.10,13,181,1,
